Value,BST_Depth,AVL_Depth,Splay_Depth
1,0,6,69
2,1,5,69
3,2,6,1
4,3,4,69
5,4,6,1
6,5,5,1
7,6,6,2
8,7,3,3
9,8,6,2
10,9,5,3
11,10,6,1
12,11,4,1
13,12,6,1
14,13,5,2
15,14,6,1
16,15,2,1
17,16,6,2
18,17,5,1
19,18,6,1
20,19,4,2
21,20,6,3
22,21,5,2
23,22,6,1
24,23,3,1
25,24,6,1
26,25,5,2
27,26,6,2
28,27,4,2
29,28,6,2
30,29,5,2
31,30,6,2
32,31,1,1
33,32,6,2
34,33,5,1
35,34,6,2
36,35,4,1
37,36,6,2
38,37,5,1
39,38,6,2
40,39,3,1
41,40,6,2
42,41,5,1
43,42,6,2
44,43,4,1
45,44,6,2
46,45,5,1
47,46,6,2
48,47,2,1
49,48,6,2
50,49,5,1
51,50,6,2
52,51,4,1
53,52,6,2
54,53,5,1
55,54,6,2
56,55,3,1
57,56,6,1
58,57,5,2
59,58,6,1
60,59,4,2
61,60,6,1
62,61,5,2
63,62,6,1
64,63,0,2
65,64,5,1
66,65,4,2
67,66,5,1
68,67,3,2
69,68,5,1
70,69,4,2
71,70,5,3
72,71,2,1
73,72,5,1
74,73,4,1
75,74,5,2
76,75,3,1
77,76,5,1
78,77,4,1
79,78,5,2
80,79,1,1
81,80,5,1
82,81,4,2
83,82,5,3
84,83,3,4
85,84,5,5
86,85,4,6
87,86,5,7
88,87,2,8
89,88,6,9
90,89,5,10
91,90,6,11
92,91,4,12
93,92,6,13
94,93,5,0
95,94,6,14
96,95,3,15
97,96,5,16
98,97,4,17
99,98,5,18
100,99,6,19
